param n := 4;
param m := 100;
param nu := 1;

param a : 1 2 3 4 :=
1		0.101	0.251	0.819	0.428
2		0.194	0.240	0.652	0.213
3		0.665	0.202	0.660	0.962
4		0.602	0.693	0.095	0.961
5		0.014	0.414	0.877	0.859
6		0.528	0.167	0.866	0.258
7		0.656	0.060	0.167	0.452
8		0.230	0.457	0.902	0.121
9		0.592	0.955	0.460	0.395
10		0.784	0.775	0.837	0.163
11		0.055	0.189	0.424	0.923
12		0.283	0.351	0.517	0.050
13		0.635	0.648	0.228	0.609
14		0.551	0.923	0.644	0.229
15		0.804	0.633	0.153	0.118
16		0.419	0.202	0.533	0.228
17		0.720	0.132	0.660	0.371
18		0.721	0.078	0.915	0.967
19		0.083	0.746	0.136	0.683
20		0.657	0.868	0.154	0.229
21		0.706	0.512	0.878	0.510
22		0.698	0.359	0.846	0.658
23		0.583	0.476	0.967	0.015
24		0.335	0.971	0.109	0.577
25		0.735	0.502	0.843	0.340
26		0.406	0.093	0.624	0.712
27		0.973	0.090	0.511	0.012
28		0.036	0.740	0.246	0.613
29		0.236	0.510	0.714	0.717
30		0.045	0.207	0.406	0.356
31		0.342	0.980	0.110	0.603
32		0.641	0.506	0.187	0.139
33		0.994	0.588	0.643	0.779
34		0.968	0.199	0.513	0.679
35		0.890	0.721	0.038	0.476
36		0.141	0.857	0.970	0.127
37		0.784	0.631	0.789	0.015
38		0.608	0.998	0.986	0.576
39		0.647	0.017	0.272	0.916
40		0.393	0.011	0.069	0.278
41		0.624	0.742	0.843	0.840
42		0.847	0.470	0.180	0.617
43		0.517	0.721	0.081	0.143
44		0.463	0.415	0.710	0.700
45		0.173	0.182	0.823	0.311
46		0.742	0.877	0.527	0.360
47		0.408	0.550	0.485	0.077
48		0.707	0.121	0.883	0.503
49		0.299	0.781	0.444	0.151
50		0.004	0.047	0.141	0.164
51		0.742	0.683	0.101	0.915
52		0.258	0.951	0.954	0.577
53		0.348	0.248	0.832	0.744
54		0.155	0.548	0.423	0.009
55		0.130	0.875	0.414	0.444
56		0.066	0.001	0.293	0.344
57		0.158	0.263	0.856	0.238
58		0.746	0.648	0.309	0.374
59		0.473	0.259	0.004	0.486
60		0.155	0.502	0.811	0.764
61		0.337	0.771	0.884	0.429
62		0.559	0.337	0.326	0.684
63		0.298	0.483	0.760	0.381
64		0.244	0.571	0.826	0.363
65		0.837	0.378	0.213	0.578
66		0.191	0.193	0.115	0.382
67		0.582	0.339	0.611	0.924
68		0.397	0.893	0.154	0.593
69		0.360	0.258	0.978	0.813
70		0.934	0.383	0.568	0.127
71		0.875	0.548	0.803	0.649
72		0.854	0.850	0.834	0.274
73		0.628	0.472	0.813	0.275
74		0.344	0.560	0.244	0.185
75		0.970	0.848	0.261	0.877
76		0.701	0.144	0.395	0.416
77		0.043	0.114	0.044	0.668
78		0.424	0.960	0.214	0.508
79		0.935	0.041	0.057	0.428
80		0.529	0.432	0.073	0.203
81		0.767	0.185	0.691	0.360
82		0.807	0.462	0.996	0.558
83		0.759	0.172	0.527	0.406
84		0.751	0.009	0.875	0.415
85		0.769	0.598	0.076	0.704
86		0.860	0.910	0.735	0.399
87		0.415	0.467	0.056	0.962
88		0.718	0.080	0.911	0.066
89		0.843	0.227	0.302	0.718
90		0.111	0.453	0.278	0.083
91		0.609	0.215	0.070	0.442
92		0.306	0.630	0.885	0.551
93		0.153	0.403	0.386	0.805
94		0.900	0.216	0.312	0.871
95		0.995	0.230	0.266	0.827
96		0.115	0.451	0.161	0.070
97		0.329	0.766	0.343	0.638
98		0.670	0.054	0.213	0.312
99		0.156	0.065	0.608	0.868
100		0.945	0.329	0.309	0.624
;

param y :=
1		-1.0
2		-1.0
3		1.0
4		1.0
5		1.0
6		-1.0
7		-1.0
8		-1.0
9		1.0
10		1.0
11		1.0
12		-1.0
13		1.0
14		1.0
15		-1.0
16		-1.0
17		-1.0
18		1.0
19		-1.0
20		-1.0
21		1.0
22		1.0
23		1.0
24		-1.0
25		1.0
26		-1.0
27		-1.0
28		-1.0
29		1.0
30		-1.0
31		1.0
32		-1.0
33		1.0
34		-1.0
35		1.0
36		1.0
37		1.0
38		1.0
39		-1.0
40		-1.0
41		1.0
42		1.0
43		-1.0
44		1.0
45		-1.0
46		1.0
47		-1.0
48		1.0
49		-1.0
50		-1.0
51		1.0
52		1.0
53		-1.0
54		-1.0
55		-1.0
56		-1.0
57		-1.0
58		1.0
59		-1.0
60		-1.0
61		1.0
62		-1.0
63		-1.0
64		1.0
65		1.0
66		-1.0
67		1.0
68		1.0
69		1.0
70		1.0
71		1.0
72		1.0
73		1.0
74		-1.0
75		-1.0
76		1.0
77		-1.0
78		1.0
79		-1.0
80		-1.0
81		1.0
82		1.0
83		-1.0
84		1.0
85		1.0
86		1.0
87		-1.0
88		1.0
89		1.0
90		-1.0
91		-1.0
92		1.0
93		-1.0
94		1.0
95		-1.0
96		-1.0
97		1.0
98		-1.0
99		-1.0
100		1.0
;
