param n := 7;
param m := 2127;
param m_test := 708;
param nu := 1;

param a : 1 2 3 4 5 6 7 :=
1		0.455	0.365	0.095	0.514	0.225	0.101	0.150
2		0.350	0.265	0.090	0.226	0.100	0.049	0.070
3		0.530	0.420	0.135	0.677	0.257	0.141	0.210
4		0.530	0.415	0.150	0.777	0.237	0.141	0.330
5		0.545	0.425	0.125	0.768	0.294	0.149	0.260
6		0.475	0.370	0.125	0.509	0.216	0.113	0.165
7		0.525	0.380	0.140	0.607	0.194	0.147	0.210
8		0.430	0.350	0.110	0.406	0.168	0.081	0.135
9		0.490	0.380	0.135	0.541	0.217	0.095	0.190
10		0.470	0.355	0.100	0.475	0.168	0.081	0.185
11		0.500	0.400	0.130	0.664	0.258	0.133	0.240
12		0.440	0.340	0.100	0.451	0.188	0.087	0.130
13		0.450	0.320	0.100	0.381	0.171	0.075	0.115
14		0.355	0.280	0.095	0.245	0.096	0.062	0.075
15		0.565	0.440	0.155	0.940	0.427	0.214	0.270
16		0.615	0.480	0.165	1.161	0.513	0.301	0.305
17		0.560	0.440	0.140	0.928	0.383	0.188	0.300
18		0.580	0.450	0.185	0.996	0.395	0.272	0.285
19		0.605	0.475	0.180	0.936	0.394	0.219	0.295
20		0.575	0.425	0.140	0.864	0.393	0.227	0.200
21		0.580	0.470	0.165	0.998	0.394	0.242	0.330
22		0.665	0.525	0.165	1.338	0.551	0.357	0.350
23		0.680	0.550	0.175	1.798	0.815	0.393	0.455
24		0.705	0.550	0.200	1.710	0.633	0.411	0.490
25		0.540	0.475	0.155	1.217	0.530	0.307	0.340
26		0.450	0.355	0.105	0.522	0.237	0.117	0.145
27		0.575	0.445	0.135	0.883	0.381	0.203	0.260
28		0.450	0.335	0.105	0.425	0.186	0.091	0.115
29		0.550	0.425	0.135	0.852	0.362	0.196	0.270
30		0.470	0.370	0.120	0.580	0.293	0.227	0.140
31		0.525	0.425	0.160	0.836	0.354	0.213	0.245
32		0.400	0.320	0.095	0.303	0.134	0.060	0.100
33		0.485	0.360	0.130	0.541	0.260	0.096	0.160
34		0.405	0.310	0.100	0.385	0.173	0.091	0.110
35		0.500	0.400	0.140	0.661	0.257	0.175	0.220
36		0.445	0.350	0.120	0.443	0.192	0.096	0.135
37		0.505	0.400	0.125	0.583	0.246	0.130	0.175
38		0.450	0.345	0.105	0.411	0.180	0.113	0.135
